Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Americas League,Regular Season,Week 1,DaveeyS,KRÜ Esports,"raze, kayo",42,1.08,214.5,0.9,79%,139.0,0.64,0.52,0.14,0.07,20%,50%,2/4,15,27,30,22,6,3
Champions Tour 2023: Americas League,Regular Season,Week 1,NagZ,KRÜ Esports,killjoy,18,0.97,250.0,0.94,67%,157.2,0.83,0.22,0.11,0.06,27%,,0/5,15,15,16,4,2,1
Champions Tour 2023: Americas League,Regular Season,Week 1,NagZ,KRÜ Esports,viper,24,0.96,184.0,0.81,71%,130.3,0.54,0.29,0.17,0.13,14%,25%,1/4,13,13,16,7,4,3
Champions Tour 2023: Americas League,Regular Season,Week 1,NagZ,KRÜ Esports,"killjoy, viper",42,0.96,217.0,0.88,69%,141.8,0.67,0.26,0.14,0.1,20%,11%,1/9,15,28,32,11,6,4
Champions Tour 2023: Americas League,Regular Season,Week 1,Klaus,KRÜ Esports,skye,24,1.06,202.0,1.0,75%,111.2,0.71,0.54,0.04,0.04,11%,,0/6,17,17,17,13,1,1
Champions Tour 2023: Americas League,Regular Season,Week 1,Klaus,KRÜ Esports,sova,18,0.24,47.0,0.18,50%,24.4,0.17,0.28,0.11,0.17,,,0/1,3,3,17,5,2,3
Champions Tour 2023: Americas League,Regular Season,Week 1,Klaus,KRÜ Esports,"skye, sova",42,0.65,124.5,0.59,64%,74.0,0.48,0.43,0.07,0.1,10%,,0/7,17,20,34,18,3,4
Champions Tour 2023: Americas League,Regular Season,Week 1,dephh,Sentinels,astra,26,0.79,131.0,0.69,65%,98.7,0.42,0.42,0.04,0.12,22%,,0/2,11,11,16,11,1,3
Champions Tour 2023: Americas League,Regular Season,Week 1,dephh,Sentinels,breach,24,0.87,128.0,0.73,79%,93.6,0.46,0.46,0.0,0.08,27%,25%,1/4,11,11,15,11,0,2
Champions Tour 2023: Americas League,Regular Season,Week 1,dephh,Sentinels,kayo,26,1.06,221.0,1.11,73%,144.2,0.81,0.5,0.12,0.12,28%,,0/2,21,21,19,13,3,3
Champions Tour 2023: Americas League,Regular Season,Week 1,dephh,Sentinels,"astra, breach, kayo",76,0.91,160.0,0.86,72%,112.7,0.57,0.46,0.05,0.11,26%,13%,1/8,21,43,50,35,4,8
Champions Tour 2023: Americas League,Regular Season,Week 1,Sacy,Sentinels,brimstone,24,1.04,217.0,1.0,79%,155.2,0.71,0.54,0.08,0.04,26%,,,17,17,17,13,2,1
Champions Tour 2023: Americas League,Regular Season,Week 1,Sacy,Sentinels,omen,26,1.08,184.0,1.06,73%,111.5,0.65,0.69,0.08,0.0,29%,,0/4,17,17,16,18,2,0
Champions Tour 2023: Americas League,Regular Season,Week 1,Sacy,Sentinels,sage,26,1.26,268.0,1.44,81%,180.6,0.88,0.35,0.08,0.08,37%,25%,1/4,23,23,16,9,2,2
Champions Tour 2023: Americas League,Regular Season,Week 1,Sacy,Sentinels,"brimstone, omen, sage",76,1.13,223.0,1.16,78%,148.9,0.75,0.53,0.08,0.04,31%,13%,1/8,23,57,49,40,6,3
Champions Tour 2023: Americas League,Regular Season,Week 1,TenZ,Sentinels,jett,76,1.14,252.7,1.36,74%,156.9,0.89,0.14,0.17,0.2,16%,20%,1/5,25,68,50,11,13,15
Champions Tour 2023: Americas League,Regular Season,Week 1,pANcada,Sentinels,killjoy,50,1.11,183.0,1.14,76%,133.3,0.66,0.22,0.0,0.1,23%,,0/4,22,33,29,11,0,5
Champions Tour 2023: Americas League,Regular Season,Week 1,pANcada,Sentinels,viper,26,0.88,194.0,0.89,65%,122.6,0.65,0.23,0.0,0.12,29%,,0/6,17,17,19,6,0,3
Champions Tour 2023: Americas League,Regular Season,Week 1,pANcada,Sentinels,"killjoy, viper",76,1.03,186.7,1.04,72%,129.6,0.66,0.22,0.0,0.11,24%,,0/10,22,50,48,17,0,8
Champions Tour 2023: Americas League,Regular Season,Week 1,zekken,Sentinels,raze,24,1.3,321.0,1.47,79%,212.6,1.04,0.25,0.17,0.21,20%,,0/2,25,25,17,6,4,5
Champions Tour 2023: Americas League,Regular Season,Week 1,zekken,Sentinels,skye,26,1.28,259.0,1.35,77%,173.9,0.88,0.46,0.08,0.08,24%,,0/2,23,23,17,12,2,2
Champions Tour 2023: Americas League,Regular Season,Week 1,zekken,Sentinels,sova,26,1.14,172.0,1.08,73%,113.8,0.54,0.38,0.04,0.19,26%,50%,1/2,14,14,13,10,1,5
Champions Tour 2023: Americas League,Regular Season,Week 1,zekken,Sentinels,"skye, raze, sova",76,1.24,250.7,1.32,76%,165.6,0.82,0.37,0.09,0.16,23%,17%,1/6,25,62,47,28,7,12
Champions Tour 2023: Americas League,Regular Season,Week 1,bang,100 Thieves,astra,26,0.74,130.0,0.68,58%,77.0,0.5,0.23,0.0,0.12,26%,50%,1/2,13,13,19,6,0,3
Champions Tour 2023: Americas League,Regular Season,Week 1,bang,100 Thieves,brimstone,24,0.91,179.0,0.84,79%,110.5,0.67,0.29,0.04,0.04,36%,,0/1,16,16,19,7,1,1
Champions Tour 2023: Americas League,Regular Season,Week 1,bang,100 Thieves,omen,26,1.04,226.0,1.0,58%,149.1,0.77,0.35,0.12,0.12,35%,33%,1/3,20,20,20,9,3,3
Champions Tour 2023: Americas League,Regular Season,Week 1,bang,100 Thieves,"brimstone, astra, omen",76,0.89,178.3,0.84,64%,112.3,0.64,0.29,0.05,0.09,33%,33%,2/6,20,49,58,22,4,7
Champions Tour 2023: Americas League,Regular Season,Week 1,Derrek,100 Thieves,breach,24,0.86,125.0,0.8,67%,81.1,0.5,0.42,0.04,0.13,44%,29%,2/7,12,12,15,10,1,3
Champions Tour 2023: Americas League,Regular Season,Week 1,Derrek,100 Thieves,skye,26,1.19,205.0,1.12,69%,127.2,0.73,0.42,0.12,0.0,25%,,0/5,19,19,17,11,3,0
Champions Tour 2023: Americas League,Regular Season,Week 1,Derrek,100 Thieves,sova,26,0.81,164.0,0.65,65%,112.1,0.5,0.23,0.08,0.04,25%,17%,1/6,13,13,20,6,2,1
Champions Tour 2023: Americas League,Regular Season,Week 1,Derrek,100 Thieves,"skye, breach, sova",76,0.95,164.7,0.85,67%,107.4,0.58,0.36,0.08,0.05,28%,17%,3/18,19,44,52,27,6,4
Champions Tour 2023: Americas League,Regular Season,Week 1,Cryocells,100 Thieves,jett,50,0.77,164.0,0.79,56%,110.1,0.62,0.1,0.2,0.16,21%,20%,1/5,18,31,39,5,10,8
Champions Tour 2023: Americas League,Regular Season,Week 1,Cryocells,100 Thieves,sage,26,1.09,176.0,0.84,81%,124.0,0.62,0.46,0.15,0.08,16%,100%,2/2,16,16,19,12,4,2
Champions Tour 2023: Americas League,Regular Season,Week 1,Cryocells,100 Thieves,"jett, sage",76,0.88,168.0,0.81,64%,114.9,0.62,0.22,0.18,0.13,19%,43%,3/7,18,47,58,17,14,10
Champions Tour 2023: Americas League,Regular Season,Week 1,Asuna,100 Thieves,kayo,26,0.93,191.0,0.79,69%,129.9,0.58,0.58,0.12,0.08,11%,50%,2/4,15,15,19,15,3,2
Champions Tour 2023: Americas League,Regular Season,Week 1,Asuna,100 Thieves,raze,26,1.34,334.0,1.24,77%,220.2,1.0,0.38,0.27,0.12,16%,,0/1,26,26,21,10,7,3
Champions Tour 2023: Americas League,Regular Season,Week 1,Asuna,100 Thieves,skye,24,1.3,229.0,1.19,75%,148.4,0.79,0.46,0.17,0.0,26%,,0/3,19,19,16,11,4,0
Champions Tour 2023: Americas League,Regular Season,Week 1,Asuna,100 Thieves,"raze, skye, kayo",76,1.19,251.3,1.07,74%,166.6,0.79,0.47,0.18,0.07,17%,25%,2/8,26,60,56,36,14,5
Champions Tour 2023: Americas League,Regular Season,Week 1,stellar,100 Thieves,killjoy,24,0.93,201.0,0.89,75%,129.8,0.71,0.21,0.08,0.04,27%,,0/2,17,17,19,5,2,1
Champions Tour 2023: Americas League,Regular Season,Week 1,stellar,100 Thieves,viper,26,0.68,138.0,0.63,69%,92.2,0.46,0.15,0.12,0.08,24%,,0/3,12,12,19,4,3,2
Champions Tour 2023: Americas League,Regular Season,Week 1,stellar,100 Thieves,"killjoy, viper",76,0.85,164.7,0.79,72%,105.4,0.58,0.21,0.11,0.05,23%,,0/9,17,44,56,16,8,4
Champions Tour 2023: Americas League,Regular Season,Week 1,FiNESSE,NRG Esports,breach,17,0.7,126.0,0.46,53%,94.1,0.35,0.24,0.0,0.06,23%,50%,1/2,6,6,13,4,0,1
Champions Tour 2023: Americas League,Regular Season,Week 1,FiNESSE,NRG Esports,skye,24,0.91,187.0,1.0,79%,123.2,0.63,0.33,0.04,0.04,26%,33%,1/3,15,15,15,8,1,1
Champions Tour 2023: Americas League,Regular Season,Week 1,FiNESSE,NRG Esports,"skye, breach",41,0.81,156.5,0.75,68%,111.1,0.51,0.29,0.02,0.05,25%,40%,2/5,15,21,28,12,1,2
Champions Tour 2023: Americas League,Regular Season,Week 1,s0m,NRG Esports,harbor,24,0.93,179.0,0.88,79%,114.2,0.63,0.33,0.08,0.25,36%,,0/2,15,15,17,8,2,6
Champions Tour 2023: Americas League,Regular Season,Week 1,s0m,NRG Esports,omen,17,0.75,223.0,0.87,71%,152.9,0.76,0.35,0.06,0.24,30%,,0/3,13,13,15,6,1,4
Champions Tour 2023: Americas League,Regular Season,Week 1,s0m,NRG Esports,"harbor, omen",41,0.84,201.0,0.88,76%,130.2,0.68,0.34,0.07,0.24,33%,,0/5,15,28,32,14,3,10
Champions Tour 2023: Americas League,Regular Season,Week 1,Victor,NRG Esports,killjoy,17,1.05,283.0,1.29,71%,162.2,1.06,0.0,0.06,0.12,31%,17%,1/6,18,18,14,0,1,2
Champions Tour 2023: Americas League,Regular Season,Week 1,Victor,NRG Esports,viper,24,1.16,217.0,1.38,79%,156.5,0.75,0.08,0.08,0.0,24%,,0/2,18,18,13,2,2,0
Champions Tour 2023: Americas League,Regular Season,Week 1,Victor,NRG Esports,"killjoy, viper",41,1.11,250.0,1.33,76%,158.9,0.88,0.05,0.07,0.05,27%,13%,1/8,18,36,27,2,3,2
Champions Tour 2023: Americas League,Regular Season,Week 1,crashies,NRG Esports,killjoy,24,0.69,157.0,0.76,67%,101.7,0.54,0.08,0.13,0.13,15%,,0/2,13,13,17,2,3,3
Champions Tour 2023: Americas League,Regular Season,Week 1,crashies,NRG Esports,skye,17,0.6,109.0,0.29,59%,82.6,0.24,0.53,0.06,0.18,18%,,0/1,4,4,14,9,1,3
Champions Tour 2023: Americas League,Regular Season,Week 1,crashies,NRG Esports,"skye, killjoy",41,0.64,133.0,0.55,63%,93.8,0.41,0.27,0.1,0.15,16%,,0/3,13,17,31,11,4,6
Champions Tour 2023: Americas League,Regular Season,Week 1,ardiis,NRG Esports,raze,41,0.7,165.5,0.63,71%,127.6,0.49,0.2,0.12,0.15,14%,,0/4,14,20,32,8,5,6
Champions Tour 2023: Americas League,Regular Season,Week 1,Mazino,Leviatán,harbor,24,1.25,222.0,1.25,79%,145.8,0.83,0.42,0.13,0.0,33%,,,20,20,16,10,3,0
Champions Tour 2023: Americas League,Regular Season,Week 1,Mazino,Leviatán,omen,17,1.11,217.0,1.0,88%,143.2,0.71,0.53,0.29,0.12,15%,,,12,12,12,9,5,2
Champions Tour 2023: Americas League,Regular Season,Week 1,Mazino,Leviatán,"harbor, omen",41,1.18,219.5,1.14,83%,144.7,0.78,0.46,0.2,0.05,24%,,,20,32,28,19,8,2
Champions Tour 2023: Americas League,Regular Season,Week 1,Tacolilla,Leviatán,jett,41,1.03,194.5,1.04,66%,99.2,0.68,0.12,0.17,0.12,16%,25%,1/4,19,28,27,5,7,5
Champions Tour 2023: Americas League,Regular Season,Week 1,Shyy,Leviatán,killjoy,41,1.11,179.0,0.96,73%,136.0,0.61,0.27,0.1,0.02,17%,,0/4,16,25,26,11,4,1
Champions Tour 2023: Americas League,Regular Season,Week 1,nzr,Leviatán,skye,41,1.27,184.5,1.26,78%,105.7,0.71,0.56,0.07,0.05,16%,40%,2/5,16,29,23,23,3,2
Champions Tour 2023: Americas League,Regular Season,Week 1,kiNgg,Leviatán,viper,41,1.46,236.5,1.94,83%,155.0,0.85,0.44,0.07,0.12,29%,50%,3/6,19,35,18,18,3,5
Champions Tour 2023: Americas League,Regular Season,Week 2,tuyz,LOUD,astra,20,1.1,211.0,1.0,80%,158.7,0.75,0.4,0.05,0.05,35%,,0/3,15,15,15,8,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,tuyz,LOUD,harbor,20,1.1,172.0,1.33,80%,120.2,0.6,0.35,0.05,0.05,20%,,0/1,12,12,9,7,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,tuyz,LOUD,omen,21,0.99,173.0,1.18,95%,105.5,0.62,0.57,0.0,0.1,29%,33%,1/3,13,13,11,12,0,2
Champions Tour 2023: Americas League,Regular Season,Week 2,tuyz,LOUD,"harbor, astra, omen",61,1.07,185.3,1.14,85%,127.8,0.66,0.44,0.03,0.07,28%,14%,1/7,15,40,35,27,2,4
Champions Tour 2023: Americas League,Regular Season,Week 2,saadhak,LOUD,gekko,20,0.64,157.0,0.56,75%,116.2,0.5,0.45,0.0,0.15,24%,,0/1,10,10,18,9,0,3
Champions Tour 2023: Americas League,Regular Season,Week 2,saadhak,LOUD,kayo,21,1.36,285.0,1.54,81%,181.8,0.95,0.81,0.1,0.1,26%,,0/1,20,20,13,17,2,2
Champions Tour 2023: Americas League,Regular Season,Week 2,saadhak,LOUD,killjoy,20,1.09,193.0,1.1,75%,142.6,0.55,0.3,0.05,0.05,15%,,0/2,11,11,10,6,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,saadhak,LOUD,"gekko, killjoy, kayo",61,1.03,211.7,1.0,77%,147.4,0.67,0.52,0.05,0.1,21%,,0/4,20,41,41,32,3,6
Champions Tour 2023: Americas League,Regular Season,Week 2,aspas,LOUD,jett,61,1.13,228.0,1.23,67%,152.9,0.8,0.15,0.15,0.13,21%,25%,2/8,19,49,40,9,9,8
Champions Tour 2023: Americas League,Regular Season,Week 2,Less,LOUD,killjoy,21,1.23,268.0,1.64,81%,180.7,1.1,0.24,0.1,0.1,20%,,0/2,23,23,14,5,2,2
Champions Tour 2023: Americas League,Regular Season,Week 2,Less,LOUD,viper,40,1.18,254.0,1.3,70%,172.2,0.88,0.2,0.13,0.13,34%,17%,1/6,21,35,27,8,5,5
Champions Tour 2023: Americas League,Regular Season,Week 2,Less,LOUD,"killjoy, viper",61,1.2,258.7,1.41,74%,175.1,0.95,0.21,0.11,0.11,26%,13%,1/8,23,58,41,13,7,7
Champions Tour 2023: Americas League,Regular Season,Week 2,cauanzin,LOUD,skye,40,0.86,185.5,0.93,60%,129.2,0.68,0.23,0.1,0.18,30%,,0/1,18,27,29,9,4,7
Champions Tour 2023: Americas League,Regular Season,Week 2,cauanzin,LOUD,sova,21,1.29,237.0,1.42,81%,154.0,0.81,0.48,0.19,0.0,14%,50%,1/2,17,17,12,10,4,0
Champions Tour 2023: Americas League,Regular Season,Week 2,cauanzin,LOUD,"skye, sova",61,1.01,202.7,1.07,67%,137.7,0.72,0.31,0.13,0.11,21%,33%,1/3,18,44,41,19,8,7
Champions Tour 2023: Americas League,Regular Season,Week 2,jakee,Cloud9,astra,40,0.9,173.5,0.8,68%,109.4,0.6,0.3,0.13,0.1,29%,14%,1/7,18,24,30,12,5,4
Champions Tour 2023: Americas League,Regular Season,Week 2,jakee,Cloud9,omen,21,0.73,148.0,0.56,67%,95.1,0.48,0.52,0.14,0.05,34%,,0/2,10,10,18,11,3,1
Champions Tour 2023: Americas League,Regular Season,Week 2,jakee,Cloud9,"astra, omen",61,0.84,165.0,0.71,67%,104.5,0.56,0.38,0.13,0.08,30%,11%,1/9,18,34,48,23,8,5
Champions Tour 2023: Americas League,Regular Season,Week 2,runi,Cloud9,breach,20,1.03,179.0,1.08,90%,117.7,0.65,0.7,0.05,0.05,39%,,,13,13,12,14,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,runi,Cloud9,sage,20,1.3,269.0,1.27,80%,169.2,0.95,0.05,0.1,0.0,29%,,0/5,19,19,15,1,2,0
Champions Tour 2023: Americas League,Regular Season,Week 2,runi,Cloud9,sova,21,0.65,159.0,0.56,52%,107.9,0.48,0.29,0.1,0.14,22%,25%,1/4,10,10,18,6,2,3
Champions Tour 2023: Americas League,Regular Season,Week 2,runi,Cloud9,"sova, breach, sage",61,0.99,202.3,0.93,74%,131.2,0.69,0.34,0.08,0.07,30%,11%,1/9,19,42,45,21,5,4
Champions Tour 2023: Americas League,Regular Season,Week 2,leaf,Cloud9,jett,21,1.14,247.0,1.12,67%,157.9,0.9,0.29,0.19,0.19,19%,,,19,19,17,6,4,4
Champions Tour 2023: Americas League,Regular Season,Week 2,leaf,Cloud9,killjoy,20,0.67,127.0,0.35,45%,95.5,0.3,0.3,0.05,0.2,15%,50%,1/2,6,6,17,6,1,4
Champions Tour 2023: Americas League,Regular Season,Week 2,leaf,Cloud9,skye,20,1.52,305.0,1.91,80%,169.6,1.05,0.55,0.25,0.05,22%,100%,1/1,21,21,11,11,5,1
Champions Tour 2023: Americas League,Regular Season,Week 2,leaf,Cloud9,"skye, killjoy, jett",61,1.11,226.3,1.02,64%,141.2,0.75,0.38,0.16,0.15,19%,67%,2/3,21,46,45,23,10,9
Champions Tour 2023: Americas League,Regular Season,Week 2,Xeppaa,Cloud9,kayo,21,1.03,189.0,0.72,71%,119.2,0.62,0.48,0.0,0.0,14%,29%,2/7,13,13,18,10,0,0
Champions Tour 2023: Americas League,Regular Season,Week 2,Xeppaa,Cloud9,raze,20,0.88,208.0,0.87,60%,133.7,0.65,0.15,0.2,0.05,19%,,0/1,13,13,15,3,4,1
Champions Tour 2023: Americas League,Regular Season,Week 2,Xeppaa,Cloud9,skye,20,0.86,178.0,0.88,75%,116.2,0.7,0.2,0.0,0.0,30%,,0/1,14,14,16,4,0,0
Champions Tour 2023: Americas League,Regular Season,Week 2,Xeppaa,Cloud9,"raze, skye, kayo",61,0.92,191.7,0.82,69%,122.9,0.66,0.28,0.07,0.02,20%,22%,2/9,14,40,49,17,4,1
Champions Tour 2023: Americas League,Regular Season,Week 2,Zellsis,Cloud9,killjoy,41,0.9,180.5,0.97,66%,117.8,0.68,0.12,0.05,0.1,17%,14%,1/7,17,28,29,5,2,4
Champions Tour 2023: Americas League,Regular Season,Week 2,Ethan,Evil Geniuses,breach,22,0.75,185.0,0.7,68%,125.5,0.64,0.23,0.0,0.0,26%,,0/2,14,14,20,5,0,0
Champions Tour 2023: Americas League,Regular Season,Week 2,Ethan,Evil Geniuses,skye,18,1.18,275.0,1.31,72%,154.6,0.94,0.39,0.17,0.11,25%,,0/4,17,17,13,7,3,2
Champions Tour 2023: Americas League,Regular Season,Week 2,Ethan,Evil Geniuses,"skye, breach",40,0.97,230.0,0.94,70%,138.6,0.78,0.3,0.08,0.05,26%,,0/6,17,31,33,12,3,2
Champions Tour 2023: Americas League,Regular Season,Week 2,jawgemo,Evil Geniuses,harbor,18,0.42,100.0,0.33,56%,72.4,0.28,0.33,0.0,0.11,8%,,0/3,5,5,15,6,0,2
Champions Tour 2023: Americas League,Regular Season,Week 2,jawgemo,Evil Geniuses,jett,22,0.74,185.0,0.74,64%,118.2,0.64,0.14,0.14,0.32,29%,50%,1/2,14,14,19,3,3,7
Champions Tour 2023: Americas League,Regular Season,Week 2,jawgemo,Evil Geniuses,"harbor, jett",40,0.58,142.5,0.56,60%,97.6,0.48,0.23,0.08,0.23,19%,20%,1/5,14,19,34,9,3,9
Champions Tour 2023: Americas League,Regular Season,Week 2,Demon1,Evil Geniuses,jett,18,0.9,227.0,0.93,67%,158.7,0.78,0.11,0.22,0.17,22%,,0/3,14,14,15,2,4,3
Champions Tour 2023: Americas League,Regular Season,Week 2,Boostio,Evil Geniuses,killjoy,40,0.88,215.0,0.91,63%,136.8,0.75,0.13,0.2,0.05,28%,,0/3,15,30,33,5,8,2
Champions Tour 2023: Americas League,Regular Season,Week 2,BcJ,Evil Geniuses,omen,22,1.03,188.0,0.93,77%,118.3,0.64,0.41,0.05,0.09,27%,33%,1/3,14,14,15,9,1,2
Champions Tour 2023: Americas League,Regular Season,Week 2,C0M,Evil Geniuses,sova,22,0.59,96.0,0.41,64%,74.1,0.32,0.23,0.0,0.09,29%,14%,1/7,7,7,17,5,0,2
Champions Tour 2023: Americas League,Regular Season,Week 2,C0M,Evil Geniuses,viper,18,0.45,74.0,0.21,61%,60.7,0.17,0.56,0.0,0.06,25%,33%,1/3,3,3,14,10,0,1
Champions Tour 2023: Americas League,Regular Season,Week 2,C0M,Evil Geniuses,"viper, sova",40,0.52,85.0,0.32,63%,68.1,0.25,0.38,0.0,0.08,28%,20%,2/10,7,10,31,15,0,3
Champions Tour 2023: Americas League,Regular Season,Week 2,mazin,FURIA,breach,24,0.71,126.0,0.56,75%,85.7,0.42,0.29,0.04,0.04,24%,50%,1/2,10,10,18,7,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,mazin,FURIA,kayo,23,0.65,122.0,0.4,65%,76.0,0.35,0.7,0.09,0.26,18%,,0/1,8,8,20,16,2,6
Champions Tour 2023: Americas League,Regular Season,Week 2,mazin,FURIA,viper,18,1.26,234.0,1.67,89%,159.9,0.83,0.61,0.11,0.11,22%,,,15,15,9,11,2,2
Champions Tour 2023: Americas League,Regular Season,Week 2,mazin,FURIA,"viper, breach, kayo",65,0.87,160.7,0.7,75%,102.8,0.51,0.52,0.08,0.14,21%,33%,1/3,15,33,47,34,5,9
Champions Tour 2023: Americas League,Regular Season,Week 2,Quick,FURIA,harbor,24,1.04,229.0,1.06,79%,141.0,0.79,0.29,0.13,0.13,35%,,0/4,19,19,18,7,3,3
Champions Tour 2023: Americas League,Regular Season,Week 2,Quick,FURIA,killjoy,23,1.06,205.0,1.13,74%,137.5,0.74,0.09,0.09,0.04,29%,,,17,17,15,2,2,1
Champions Tour 2023: Americas League,Regular Season,Week 2,Quick,FURIA,sage,18,0.91,110.0,0.58,78%,65.3,0.39,0.28,0.22,0.0,25%,,,7,7,12,5,4,0
Champions Tour 2023: Americas League,Regular Season,Week 2,Quick,FURIA,"harbor, killjoy, sage",65,1.0,181.3,0.96,77%,118.8,0.66,0.22,0.14,0.06,31%,,0/4,19,43,45,14,9,4
Champions Tour 2023: Americas League,Regular Season,Week 2,dgzin,FURIA,jett,41,1.29,257.5,1.34,76%,161.8,0.95,0.12,0.2,0.17,21%,,0/4,22,39,29,5,8,7
Champions Tour 2023: Americas League,Regular Season,Week 2,Khalil,FURIA,killjoy,18,1.47,249.0,2.13,89%,164.7,0.94,0.11,0.06,0.06,22%,50%,1/2,17,17,8,2,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,Khalil,FURIA,omen,23,1.63,283.0,2.27,87%,171.9,1.09,0.3,0.04,0.0,30%,25%,1/4,25,25,11,7,1,0
Champions Tour 2023: Americas League,Regular Season,Week 2,Khalil,FURIA,viper,24,0.92,186.0,0.88,79%,127.9,0.58,0.17,0.04,0.04,28%,17%,1/6,14,14,16,4,1,1
Champions Tour 2023: Americas League,Regular Season,Week 2,Khalil,FURIA,"killjoy, viper, omen",65,1.34,239.3,1.6,85%,153.6,0.86,0.2,0.05,0.03,27%,25%,3/12,25,56,35,13,3,2
Champions Tour 2023: Americas League,Regular Season,Week 2,mwzera,FURIA,skye,24,0.59,106.0,0.44,67%,69.1,0.33,0.29,0.04,0.08,15%,,0/2,8,8,18,7,1,2
Champions Tour 2023: Americas League,Regular Season,Week 2,mwzera,FURIA,sova,41,1.0,166.0,1.14,80%,111.4,0.59,0.34,0.02,0.07,23%,,0/3,13,24,21,14,1,3
Champions Tour 2023: Americas League,Regular Season,Week 2,mwzera,FURIA,"skye, sova",65,0.87,146.0,0.82,75%,95.8,0.49,0.32,0.03,0.08,20%,,0/5,13,32,39,21,2,5
Champions Tour 2023: Americas League,Regular Season,Week 2,Asuna,100 Thieves,gekko,22,0.95,165.0,1.0,64%,101.3,0.64,0.36,0.09,0.14,15%,,,14,14,14,8,2,3
Champions Tour 2023: Americas League,Regular Season,Week 2,Asuna,100 Thieves,sage,18,1.21,173.0,1.22,89%,114.3,0.61,0.61,0.17,0.11,20%,,0/2,11,11,9,11,3,2
Champions Tour 2023: Americas League,Regular Season,Week 2,Asuna,100 Thieves,"gekko, sage",40,1.08,169.0,1.09,75%,107.2,0.63,0.48,0.13,0.13,17%,,0/2,14,25,23,19,5,5
Champions Tour 2023: Americas League,Regular Season,Week 2,Cryocells,100 Thieves,jett,22,1.47,284.0,1.77,77%,171.8,1.05,0.18,0.18,0.14,18%,,0/3,23,23,13,4,4,3
Champions Tour 2023: Americas League,Regular Season,Week 2,Cryocells,100 Thieves,omen,18,0.74,116.0,0.36,72%,75.6,0.28,0.61,0.11,0.17,19%,,0/2,5,5,14,11,2,3
Champions Tour 2023: Americas League,Regular Season,Week 2,Cryocells,100 Thieves,"omen, jett",40,1.1,200.0,1.04,75%,128.5,0.7,0.38,0.15,0.15,18%,,0/5,23,28,27,15,6,6
Champions Tour 2023: Americas League,Regular Season,Week 2,stellar,100 Thieves,killjoy,40,1.3,242.5,1.54,83%,165.3,0.93,0.15,0.13,0.08,20%,,0/1,21,37,24,6,5,3
Champions Tour 2023: Americas League,Regular Season,Week 2,bang,100 Thieves,omen,22,1.24,203.0,1.33,77%,128.3,0.73,0.5,0.09,0.14,23%,,0/1,16,16,12,11,2,3
Champions Tour 2023: Americas League,Regular Season,Week 2,bang,100 Thieves,viper,18,1.72,373.0,2.5,89%,252.3,1.39,0.28,0.17,0.06,33%,100%,3/3,25,25,10,5,3,1
Champions Tour 2023: Americas League,Regular Season,Week 2,bang,100 Thieves,"omen, viper",40,1.48,288.0,1.86,83%,184.1,1.03,0.4,0.13,0.1,28%,75%,3/4,25,41,22,16,5,4
Champions Tour 2023: Americas League,Regular Season,Week 2,Derrek,100 Thieves,sova,40,1.26,219.5,1.36,73%,149.1,0.75,0.4,0.0,0.03,23%,,0/4,15,30,22,16,0,1
Champions Tour 2023: Americas League,Regular Season,Week 2,Klaus,KRÜ Esports,gekko,24,0.71,148.0,0.58,79%,96.3,0.46,0.13,0.13,0.17,24%,,0/2,11,11,19,3,3,4
Champions Tour 2023: Americas League,Regular Season,Week 2,Klaus,KRÜ Esports,skye,26,0.7,118.0,0.4,62%,76.7,0.31,0.62,0.04,0.12,17%,,0/2,8,8,20,16,1,3
Champions Tour 2023: Americas League,Regular Season,Week 2,Klaus,KRÜ Esports,sova,22,0.91,163.0,0.81,73%,111.0,0.59,0.36,0.0,0.09,25%,,0/2,13,13,16,8,0,2
Champions Tour 2023: Americas League,Regular Season,Week 2,Klaus,KRÜ Esports,"gekko, skye, sova",72,0.77,143.0,0.58,71%,93.7,0.44,0.38,0.06,0.13,22%,,0/6,13,32,55,27,4,9
Champions Tour 2023: Americas League,Regular Season,Week 2,DaveeyS,KRÜ Esports,harbor,26,0.84,175.0,0.71,62%,103.3,0.58,0.31,0.12,0.04,19%,,0/3,15,15,21,8,3,1
Champions Tour 2023: Americas League,Regular Season,Week 2,DaveeyS,KRÜ Esports,kayo,22,1.51,313.0,1.73,82%,193.6,1.18,0.5,0.05,0.09,25%,50%,2/4,26,26,15,11,1,2
Champions Tour 2023: Americas League,Regular Season,Week 2,DaveeyS,KRÜ Esports,skye,24,0.99,164.0,0.72,71%,93.9,0.54,0.71,0.0,0.08,27%,,0/4,13,13,18,17,0,2
